epoch,loss,accuracy,val_loss,val_accuracy,lr
1,2.4431697447201732,0.2285814606741573,1.8962039371014983,0.3561387066541706,0.0009048374180359595
2,1.903539744209261,0.35908239700374533,1.4210309059461255,0.5257731958762887,0.0008187307530779817
3,1.4611931115054013,0.5022237827715356,1.049660971707681,0.6354264292408622,0.0007408182206817178
4,0.9984126153510161,0.6603464419475655,0.7398262459648582,0.7441424554826617,0.0006703200460356391
5,0.6324841837199886,0.7924859550561798,0.5814230412998932,0.7985004686035614,0.0006065306597126332
6,0.36119258763749945,0.8874063670411985,0.3282363418116118,0.895032802249297,0.0005488116360940263
7,0.23319325815146782,0.9294241573033708,0.22353848004966778,0.9334582942830365,0.0004965853037914094
8,0.12093183348018131,0.9681647940074907,0.18012740238872554,0.9400187441424555,0.0004493289641172214
9,0.09192060446541073,0.9767088014981273,0.13752682840812955,0.9597000937207123,0.0004065696597405989
10,0.06919326733672217,0.9824438202247191,0.13118672201928405,0.9606373008434864,0.00036787944117144214
11,0.05469478322332551,0.9870084269662921,0.08861787414707195,0.9746954076850984,0.0003328710836980794
12,0.03840200296229917,0.9920411985018727,0.07450954210372762,0.9765698219306467,0.00030119421191220194
13,0.03010285325690211,0.9942649812734082,0.09555638888056522,0.9700093720712277,0.00027253179303401244
14,0.027876655422046447,0.9948501872659176,0.07527062774486595,0.979381443298969,0.0002465969639416063
15,0.025728869111510864,0.9947331460674157,0.07834643190124377,0.9728209934395501,0.00022313016014842966
16,0.01816582574495132,0.9974250936329588,0.06963578689120703,0.9784442361761949,0.00020189651799465525
17,0.02035487373272299,0.9963717228464419,0.08662583347979057,0.971883786316776,0.0001826835240527345
18,0.018576821300535975,0.995435393258427,0.07817686747169539,0.9784442361761949,0.0001652988882215864
19,0.015614869072161308,0.997308052434457,0.07580626069200631,0.9803186504217432,0.0001495686192226349
20,0.010546648489007873,0.9987125468164794,0.06995747246776883,0.9803186504217432,0.00013533528323661254
